batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year
김주찬,20.0,86.0,333.0,300.0,57.0,94.0,21.0,4.0,4.0,135.0,31.0,29.0,8.0,24.0,2.0,0.0,56.0,7.0,2.0,5.0,2001
김주찬,21.0,84.0,291.0,264.0,25.0,58.0,13.0,4.0,7.0,100.0,25.0,9.0,8.0,14.0,5.0,0.0,75.0,5.0,7.0,1.0,2002
김주찬,22.0,55.0,131.0,125.0,12.0,20.0,5.0,1.0,3.0,36.0,3.0,7.0,2.0,5.0,0.0,0.0,33.0,1.0,1.0,0.0,2003
김주찬,23.0,120.0,503.0,450.0,53.0,109.0,20.0,5.0,7.0,160.0,42.0,44.0,10.0,32.0,13.0,0.0,92.0,7.0,6.0,2.0,2004
김주찬,26.0,113.0,416.0,387.0,49.0,101.0,17.0,1.0,5.0,135.0,30.0,22.0,8.0,13.0,8.0,3.0,69.0,4.0,7.0,1.0,2007
김주찬,27.0,104.0,458.0,412.0,75.0,129.0,16.0,7.0,1.0,162.0,42.0,32.0,18.0,24.0,8.0,0.0,61.0,6.0,9.0,5.0,2008
김주찬,28.0,109.0,479.0,435.0,77.0,135.0,30.0,5.0,7.0,196.0,51.0,34.0,7.0,28.0,6.0,0.0,56.0,7.0,4.0,6.0,2009
김주찬,29.0,118.0,535.0,485.0,89.0,134.0,18.0,4.0,9.0,187.0,40.0,65.0,19.0,31.0,5.0,1.0,65.0,5.0,11.0,3.0,2010
김주찬,30.0,86.0,371.0,321.0,58.0,100.0,12.0,3.0,6.0,136.0,40.0,25.0,10.0,27.0,7.0,0.0,38.0,4.0,12.0,4.0,2011
김주찬,31.0,118.0,488.0,435.0,62.0,128.0,27.0,3.0,5.0,176.0,39.0,32.0,13.0,30.0,7.0,1.0,48.0,7.0,11.0,5.0,2012
김주찬,32.0,47.0,195.0,168.0,24.0,51.0,9.0,4.0,0.0,68.0,28.0,23.0,3.0,15.0,4.0,1.0,18.0,4.0,7.0,1.0,2013
김주찬,33.0,100.0,442.0,399.0,72.0,138.0,32.0,4.0,9.0,205.0,46.0,22.0,10.0,31.0,4.0,2.0,48.0,11.0,6.0,2.0,2014
김주찬,34.0,98.0,377.0,333.0,66.0,109.0,23.0,2.0,18.0,190.0,62.0,8.0,2.0,23.0,12.0,3.0,58.0,10.0,1.0,8.0,2015
김주찬,35.0,130.0,555.0,511.0,97.0,177.0,37.0,3.0,23.0,289.0,101.0,9.0,7.0,30.0,7.0,1.0,68.0,13.0,1.0,6.0,2016
김주찬,36.0,122.0,478.0,440.0,78.0,136.0,39.0,2.0,12.0,215.0,70.0,9.0,2.0,31.0,4.0,0.0,59.0,17.0,2.0,1.0,2017
김주찬,37.0,121.0,471.0,429.0,71.0,146.0,23.0,0.0,18.0,223.0,93.0,8.0,1.0,23.0,7.0,5.0,57.0,15.0,2.0,10.0,2018
